,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,MKTX.OQ,,NaN,,
1,MKTX.OQ,,NaN,,
2,MKTX.OQ,,NaN,,
3,MKTX.OQ,,NaN,,
4,MKTX.OQ,,NaN,,
5,MKTX.OQ,,NaN,,
6,MKTX.OQ,,NaN,,
7,MKTX.OQ,,NaN,,
8,MKTX.OQ,,NaN,,
9,MKTX.OQ,,NaN,,
10,MKTX.OQ,2004-11-30T00:00:00Z,12.0640365923563,432489797.6,19.6
11,MKTX.OQ,2004-12-31T00:00:00Z,-13.2142857142923,375339360.06,17.01
12,MKTX.OQ,2005-01-31T00:00:00Z,-18.3421516748556,308479967.88,13.89
13,MKTX.OQ,2005-02-28T00:00:00Z,-16.8421052614586,261479801.1,11.85
14,MKTX.OQ,2005-03-31T00:00:00Z,-5.7383966250554,257269014.97,11.17
15,MKTX.OQ,2005-04-29T00:00:00Z,27.1784232340275,282374048.659999,12.26
16,MKTX.OQ,2005-05-31T00:00:00Z,-18.4339314866295,230378350.0,10.0
17,MKTX.OQ,2005-06-30T00:00:00Z,9.17874396071761,260327535.5,11.3
18,MKTX.OQ,2005-07-29T00:00:00Z,-3.09734513561076,252264293.249999,10.95
19,MKTX.OQ,2005-08-31T00:00:00Z,2.19178082409512,264201707.609999,11.19
20,MKTX.OQ,2005-09-30T00:00:00Z,22.0825852808155,321103058.4,13.6
21,MKTX.OQ,2005-10-31T00:00:00Z,-9.26470588202774,291353804.46,12.34
22,MKTX.OQ,2005-11-30T00:00:00Z,-1.05348460472213,295951596.6,12.21
23,MKTX.OQ,2005-12-30T00:00:00Z,-6.38820639121974,277045597.8,11.43
24,MKTX.OQ,2006-01-31T00:00:00Z,12.8608923882392,312676134.0,12.9
25,MKTX.OQ,2006-02-28T00:00:00Z,4.94812450134385,318735749.0,13.15
26,MKTX.OQ,2006-03-31T00:00:00Z,-8.5171102645738,367656793.859999,12.03
27,MKTX.OQ,2006-04-28T00:00:00Z,-8.22368420875955,341068147.92,11.16
28,MKTX.OQ,2006-05-31T00:00:00Z,-1.88172043005951,335002197.599999,10.95
29,MKTX.OQ,2006-06-30T00:00:00Z,4.95710200553143,336837826.08,11.01
30,MKTX.OQ,2006-07-31T00:00:00Z,-7.72025431577482,310833089.28,10.16
31,MKTX.OQ,2006-08-31T00:00:00Z,-7.28346456806492,301569572.1,9.42
32,MKTX.OQ,2006-09-29T00:00:00Z,10.2105263155195,335184014.85,10.47
33,MKTX.OQ,2006-10-31T00:00:00Z,7.44985673500231,360154743.75,11.25
34,MKTX.OQ,2006-11-30T00:00:00Z,27.5465013298487,464974012.8,14.4
35,MKTX.OQ,2006-12-29T00:00:00Z,-5.7638888896359,438173427.34,13.57
36,MKTX.OQ,2007-01-31T00:00:00Z,-6.63227708304711,409112551.54,12.67
37,MKTX.OQ,2007-02-28T00:00:00Z,9.87460815037873,452703865.24,14.02
38,MKTX.OQ,2007-03-30T00:00:00Z,19.4008559182972,548672349.239999,16.74
39,MKTX.OQ,2007-04-30T00:00:00Z,-2.15053763602461,536872943.88,16.38
40,MKTX.OQ,2007-05-31T00:00:00Z,7.87545787422628,594292194.45,17.67
41,MKTX.OQ,2007-06-29T00:00:00Z,3.03550973610078,605054701.65,17.99
42,MKTX.OQ,2007-07-31T00:00:00Z,-7.67092829523556,558641389.35,16.61
