,Instrument,Date,1 Month Total Return,Company Market Cap,Price Close
0,VRSK.OQ,,NaN,,
1,VRSK.OQ,,NaN,,
2,VRSK.OQ,,NaN,,
3,VRSK.OQ,,NaN,,
4,VRSK.OQ,,NaN,,
5,VRSK.OQ,,NaN,,
6,VRSK.OQ,,NaN,,
7,VRSK.OQ,,NaN,,
8,VRSK.OQ,,NaN,,
9,VRSK.OQ,,NaN,,
10,VRSK.OQ,,NaN,,
11,VRSK.OQ,,NaN,,
12,VRSK.OQ,,NaN,,
13,VRSK.OQ,,NaN,,
14,VRSK.OQ,,NaN,,
15,VRSK.OQ,,NaN,,
16,VRSK.OQ,,NaN,,
17,VRSK.OQ,,NaN,,
18,VRSK.OQ,,NaN,,
19,VRSK.OQ,,NaN,,
20,VRSK.OQ,,NaN,,
21,VRSK.OQ,,NaN,,
22,VRSK.OQ,,NaN,,
23,VRSK.OQ,,NaN,,
24,VRSK.OQ,,NaN,,
25,VRSK.OQ,,NaN,,
26,VRSK.OQ,,NaN,,
27,VRSK.OQ,,NaN,,
28,VRSK.OQ,,NaN,,
29,VRSK.OQ,,NaN,,
30,VRSK.OQ,,NaN,,
31,VRSK.OQ,,NaN,,
32,VRSK.OQ,,NaN,,
33,VRSK.OQ,,NaN,,
34,VRSK.OQ,,NaN,,
35,VRSK.OQ,,NaN,,
36,VRSK.OQ,,NaN,,
37,VRSK.OQ,,NaN,,
38,VRSK.OQ,,NaN,,
39,VRSK.OQ,,NaN,,
40,VRSK.OQ,,NaN,,
41,VRSK.OQ,,NaN,,
42,VRSK.OQ,,NaN,,
43,VRSK.OQ,,NaN,,
44,VRSK.OQ,,NaN,,
45,VRSK.OQ,,NaN,,
46,VRSK.OQ,,NaN,,
47,VRSK.OQ,,NaN,,
48,VRSK.OQ,,NaN,,
49,VRSK.OQ,,NaN,,
50,VRSK.OQ,,NaN,,
51,VRSK.OQ,,NaN,,
52,VRSK.OQ,,NaN,,
53,VRSK.OQ,,NaN,,
54,VRSK.OQ,,NaN,,
55,VRSK.OQ,,NaN,,
56,VRSK.OQ,,NaN,,
57,VRSK.OQ,,NaN,,
58,VRSK.OQ,,NaN,,
59,VRSK.OQ,,NaN,,
60,VRSK.OQ,,NaN,,
61,VRSK.OQ,,NaN,,
62,VRSK.OQ,,NaN,,
63,VRSK.OQ,,NaN,,
64,VRSK.OQ,,NaN,,
65,VRSK.OQ,,NaN,,
66,VRSK.OQ,,NaN,,
67,VRSK.OQ,,NaN,,
68,VRSK.OQ,,NaN,,
69,VRSK.OQ,2009-10-30T00:00:00Z,0.771491550847392,4939040314.0,27.43
70,VRSK.OQ,2009-11-30T00:00:00Z,-1.89573460015547,4844963857.5,26.91
71,VRSK.OQ,2009-12-31T00:00:00Z,12.5232255634282,5451709610.0,30.28
72,VRSK.OQ,2010-01-29T00:00:00Z,-7.13342140245016,5062816190.0,28.12
73,VRSK.OQ,2010-02-26T00:00:00Z,-1.63364615998373,5095223975.0,28.3
74,VRSK.OQ,2010-03-31T00:00:00Z,-0.353356892725865,5077510110.0,28.2
